prep,prophylaxis,truvada,descovy,apretude,Dates,United States,NY,NY-New York City,DC,DC-Washington,WI,WI-Madison,United Kingdom,IL,IL-Chicago,MN,CA,NC,VA,Pakistan,Romania,The Netherlands,OH,CA-San Diego,Ukraine,GA,GA-Atlanta,India,MS,Singapore,CA-Los Angeles,ID,FL,OR,OR-Portland,PA,PA-Philadelphia,Jordan,MA,MA-Boston,HI,HI-Honolulu,Sweden,CO,Ghana,TN,TN-Nashville,WA,WA-Seattle,South Africa,MD,NV,NV-Las Vegas,Austria,Estonia,VA-Arlington,NJ,Australia,Mexico,Canada,LA,LA-New Orleans,IN,IN-Indianapolis,CA-Sacramento,ID-Boise,NY-Buffalo,CA-Oakland,CO-Denver,Kenya,MO,Switzerland,Germany,Indonesia,TX,TX-Dallas,NV-Reno,NM,NM-Albuquerque,AZ,AZ-Phoenix,TX-San Antonio,Philippines,Norway,RI,IA,Gibraltar,MD-Baltimore,MI,MI-Detroit,OH-Cleveland,NH,LA-Baton Rouge,AZ-Tucson,Italy,CT,SC,Egypt,Sri Lanka,PA-Pittsburgh,AR,AL,Rwanda,Peru,FL-Miami,Japan,Malaysia,FL-Orlando,Nigeria,NC-Charlotte,CA-San Jose,Spain,Bangladesh,MN-Minneapolis,TX-Houston,NC-Durham,TX-Austin,France,Thailand,WI-Milwaukee,Armenia,CA-Anaheim,New Zealand,Portugal,Cambodia,Venezuela,Ireland,VT,VA-Richmond,OH-Cincinnati,Malawi,AZ-Glendale,Lebanon,Panama,Madagascar,Uganda,Belgium,KY,AK,AK-Anchorage,KS,AZ-Mesa,China,South Korea,FL-Tampa,IN-Fort Wayne,Botswana,Jamaica,Ethiopia,WV,Netherlands,NE,NE-Omaha,UT,NC-Greensboro,Argentina,United Arab Emirates,Cameroon,Kuwait,CA-Santa Ana,MO-Kansas City,OH-Toledo,CA-Riverside,NJ-Newark,Slovenia,CA-Bakersfield,NC-Raleigh,Brazil,Poland,El Salvador,Kazakhstan,ND,KY-Louisville,NJ-Jersey City,CO-Colorado Springs,Zambia,Tajikistan,Israel,Chile,Puerto Rico,DE,TX-Plano,CA-San Francisco,Tunisia,Ecuador,Dominican Republic,Vietnam,Zimbabwe,AZ-Scottsdale,Denmark,OH-Columbus,Czech Republic,NE-Norfolk,Iran,Senegal,Namibia,Finland,Cyprus,TX-Lubbock,Barbados,Reunion,Mauritius,Bahrain,Turkey,Tanzania,Nepal,Saudi Arabia,Algeria,TX-Arlington,Trinidad and Tobago,KS-Wichita,Luxembourg,Seychelles,Russia,French Polynesia,CA-Irvine,AZ-Gilbert,Mali,MT,OK,OK-Oklahoma City,ME,ME-Portland,Ivory Coast,Maldives,Hong Kong,St. Lucia,Angola,Uzbekistan,Bolivia,WY,Greece,DE-Newark,WA-Spokane,Colombia,IN-Columbus,CA-Fresno,Albania,TN-Memphis,Morocco,NE-Lincoln,Saint Lucia,CA-Richmond,Taiwan,Honduras,Burkina Faso,Antarctica,Slovakia,Nicaragua,CA-Fremont,CA-Long Beach,Turks and Caicos Islands,The Bahamas,SD,VA-Virginia Beach,Palestinian Territory,Suriname,CA-Newark,AZ-Chandler,Belize,Hungary,GA-Columbus,CA-Glendale,NC-Jacksonville,NV-Henderson,Mozambique,British Virgin Islands,OK-Tulsa,TX-Fort Worth,Moldova,Afghanistan,Guyana,Guatemala,TX-Irving,Costa Rica,Antigua and Barbuda,Qatar,VA-Norfolk,Latvia,Myanmar,Lesotho,KS-Kansas City,Uruguay,Brunei,Swaziland,Georgia,TX-El Paso,Mongolia,Liberia,Anguilla,South Sudan,Guadeloupe,Haiti,Cayman Islands,Cuba,Malta,TX-Corpus Christi,Libya,Bosnia and Herzegovina,Serbia,NY-Long Beach,Croatia,The Gambia,Macedonia,Somalia,TX-Laredo,Sudan,CO-Aurora,Paraguay,Turkmenistan,Democratic Republic of Congo,Iceland,TN-Cleveland,Republic of Latvia,Iraq,Fiji,CA-Stockton,Syria,U.S. Virgin Islands,Papua New Guinea,Kosovo,MA-Lexington,CA-Chula Vista,Oman,Bulgaria,Montenegro,Republic of Lithuania,Kyrgyzstan,Eswatini,KY-Henderson,TX-Garland,South Georgia and the South Sandwich Islands,Cook Islands,IL-Aurora,NJ-Madison,Benin,CA-Lincoln,Sierra Leone,Dominica,MA-Arlington,Monaco,AL-Madison,Aruba,MS-Madison,CO-Louisville,FL-Jacksonville,Djibouti,Grenada,IN-Richmond,North Korea,Martinique
2,4,1,0,0,2010-03-06,4.0,,,,,,,,,,,1.0,,,,,,,,,2.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,14,19,0,0,2010-03-13,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,18,12,0,0,2010-03-20,2.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,5,0,0,2010-03-27,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,0,0,0,2010-04-03,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,17,0,0,2010-04-10,9.0,1.0,1.0,,,,,,2.0,2.0,,1.0,,,,,,,,,1.0,1.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,5,0,0,2010-04-17,8.0,1.0,1.0,,,,,,1.0,1.0,,2.0,,,,,,,,,,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,0,0,2010-04-24,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,1,0,0,2010-05-01,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,12,0,0,0,2010-05-08,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1,2,0,0,2010-05-15,7.0,2.0,2.0,1.0,1.0,,,1.0,,,,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,1,0,0,2010-05-22,6.0,2.0,2.0,1.0,1.0,,,,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,3,0,0,2010-05-29,3.0,1.0,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,0,0,0,2010-06-05,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,0,0,0,2010-06-12,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
